time_1,time_2,claro_uem,nublado_uem,int_uem,claro_dindiza,nublado_dindiza,int_dindiza,claro_massangena,nublado_massangena,int_massangena,claro_pomene,nublado_pomene,int_pomene,claro_maravia,nublado_maravia,int_maravia,claro_nhangau,nublado_nhangau,int_nhangau,claro_nhapassa_1,nublado_nhapassa_1,int_nhapassa_1,claro_lugela_1,nublado_lugela_1,int_lugela_1,claro_chomba,nublado_chomba,int_chomba,claro_nanhupo_1,nublado-nanhupo_1,int_nanhupo_1,claro_massangulo_1,nublado_massangulo_1,int_massangulo_1
12:25:00,,,,1.106771429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:26:00,,,,1.107705835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:27:00,,,,1.105971878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:28:00,,,,1.105602585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:29:00,,,,1.10794775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:30:00,,,,1.107620953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:31:00,,,,1.108663978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:32:00,,,,1.107025588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33:00,,,,1.112170573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:34:00,,,,1.11192962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:35:00,,,,1.110351803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:36:00,,,,1.08039999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:37:00,,,,1.111326444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:38:00,,,,1.109805272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:39:00,,,,1.108302511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:40:00,,,,1.110906418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
